[00:08] 主持人：哈囉，各位聽眾朋友大家好，歡迎收聽哇賽新觀點，與你一起發現新視野，我是宇澤。我們常常想要財富自由啊，要賺更多錢，可是其實還有一個更基本的問題，很少會想起來，就是你的金錢觀到底是什麼。有些人呢，會揮金似土，那有些人呢，可能帳戶很多錢，可是心裡還是很焦慮說，哎呀，我的錢不夠。所以呢，核心還是要了解你自己的金錢觀，你才可以更延伸說，欸，我怎麼理財，我怎麼投資。可是再進一步啊，當我們結婚有伴侶有小孩之後，其實你的金錢觀已經不再是你的金錢觀了喔，因為你的家庭金錢觀必須要溝通嘛。所以家庭理財的難處不只是你要賺錢，不只是你的金錢觀，更重要的是你跟你伴侶之間，你們的觀念是不是一致，而且要怎麼溝通呢？所以今天呢，我們就想要來從自己的金錢觀，然後延伸到伴侶，甚至孩子的理財跟金錢觀，以及在家庭裡面我們怎麼來溝通。那我們今天邀請的來賓呢，就是在家庭理財方面非常有經驗的精算媽咪 Sandy Tu。
[01:15] 來賓：哈囉，大家好，我是陪你精算生活，創造理想人生的 Sandy Tu。
[01:19] 主持人：對，其實家庭理財是一件不容易的事情啊，因為我們一般講最簡單的，比方說像我們這種中年男性，就說好，交給老婆管，或者是現在很多年輕人說我們就 AA 管，但老實說其實也沒有那麼簡單，你說 AA 真的有辦法算到全部都 AA 嗎？
[01:37] 來賓：其實蠻難的。
[01:38] 主持人：對啊，根本是做不到嘛。所以伴侶之間跟你自己的金錢觀是什麼，我覺得這個就是我們非常重要，可以了解自己以及了解伴侶的一個地方。可是我們從小到大，爸爸媽媽或者是學校也不會教我們什麼是金錢觀嘛。而且這也不可能是天生的嘛。就你的觀點來看，你覺得我們每一個人到底是怎麼被塑造出來這樣子的金錢觀呢？
[02:02] 來賓：其實我覺得原生家庭帶給我們的金錢觀，它不是一個知識欸，它是一個感受。我小時��去看到我爸爸媽媽到底是怎麼樣談論金錢的。我舉一個很簡單的案例，我爸跟我媽其實就差很多。我爸爸是開公司嘛，所以他一直都是經營企業。所以我父親其實不怎麼存錢，他會把所有的錢都拿去做投資或是擴張生意。所以他小時候就一直跟我們講說，啊，你們不要出去工作啦，你們一定要自己去找到自己喜歡的東西，然後你要開公司。我們從小被灌輸著你一定要自己創造財富的這個概念。所以我父親到最後，他也沒有存錢，他真的把所有的錢都拿去投資跟擴張。那我媽媽不一樣，我媽是客家人。我媽就會說，啊，你是以為你們家很有錢是不是啊？他就會要我們隨手關燈啊，或者是吃飯不能剩下啊，這一類的習慣養成。所以我覺得家裡面都是一個爸爸媽媽給你的感受是什麼，所以我再面對我爸跟在面對我媽的時候是完全不一樣的。而且我們是一個很大家庭，所以我很早以前就有接觸到股票跟投資，是因為我姑姑是證券分析師。
[03:10] 主持人：喔。
[03:10] 來賓：我們到現在喔，家族聚餐的錢都是長輩的保險理賠金下來之後，放到股票市場裡面去，然後它就有利息嘛，所以我們家族聚餐都沒有人要出錢，全部都是股票的利息。
[03:24] 主持人：哇，好特別喔。
[03:26] 來賓：嗯，所以我覺得在這個過程當中，就會讓我有很不同的認知，那這些認知也會自己衝撞，到底是爸爸比較對呢，還是媽媽比較對。那到最後我會發現，好像就是你心裡面最舒服的那個那個樣子，就是屬於你的，你的金錢觀，然後重新被塑造這樣子。
[03:44] 主持人：聽你爸爸媽媽這樣啊，我很好奇，他們兩個不會因為金錢觀而吵架嗎？
[03:49] 來賓：欸，還是真的不會欸，真的不會，因為我媽媽就完全是聽爸爸的，然後他其實就是守財的部分。所以其實我也很愛守財，但是我我自己也會開創，我覺得會創造出我自己的金錢觀，因為我一定要有家庭的安全網，就是我第一本書家計力有寫到，所以我一定要在那個底線之上我才去創造，我不會跟我爸一樣全部都投入，然後也不會跟媽媽一樣就都不花錢。
[04:16] 主持人：其實聽起來也合理啦，因為你爸就很像是開疆拓土嘛，你要投資你公司你這樣才會越來越大，但是你媽媽就是好，至少我守住這一片，你公司倒了，這一片還在，對不對。
[04:30] 來賓：嗯哼。
