[00:00] (Music)
[00:07] 主持人：歡迎收聽五級郎剛好有播剛,我是節目主持人安迪。這是一個自我權杖,人生經驗對談和內化學習輸出的節目。期待我們一起成為生命中輕易豐盛,富而喜悅的五級郎。
[00:22] (Music fades)
[00:23] 主持人：歡迎回到五級郎,我是安迪。在今天節目一開始,我想請大家在心裡回想一個情境。
[00:30] 主持人：不論是朋友邀請你去參加一個你其實一點都不喜歡的聚會活動,或者是主管在快下班的時間,問你要不要接下某個不屬於你的專案。
[00:41] 主持人：那個當下,你心裡明明100個不願意,但話到了嘴邊,卻自動變成了,好的,我會準時出席,或是沒問題,交給我處理。
[00:51] 主持人：掛掉電話以後,你是不是又開始在心���默默氣自己為什麼總是這麼軟弱,不懂得拒絕呢?
[000:59] 主持人：我們常常以為啊,配合別人是一種體貼,是一種維持人際關係的高情商,但今天我們要透過這本書來戳破這個盲點。
[01:08] 主持人：今天我們要探討的主題是,跟你有關的事,先對自己誠實。
[01:14] 主持人：在今天這集節目當中,我們將會帶你發現,那些你以為的身不由己,其實正在慢慢消耗你的自我價值哦。
[01:22] 主持人：準備好拿回你內心的主導權了嗎?我們一起進入今天的主題吧。
[01:28] 主持人：為什麼我們總是習慣先說好,卻讓自己過得這麼累啊?
[01:33] 主持人：這小節的內容啊,像是一把溫柔的手術刀,解剖了我們不敢誠實的心理狀態。
[01:39] 主持人：我為大家整理了三個核心重點。重點一,你把別人的期望看得比自己還要重。
[01:47] 主持人：作者提到啊,人際敏感度高的人,往往很容易不自覺的拖起別人的期望,而把自己的想法調成靜音的模式。
[01:57] 主持人：當你明明不想去,卻給出我會準時出席的回應,又或者是明明不想加班,卻說出應該可以的時候,這其實都是不誠實的表現。
[02:08] 主持人：每一次心不甘情不願的讓步,每一次再跟對方聯手壓榨自己的退縮,都是因為你對自己��夠誠實。
[02:18] 主持人：重點二,委屈求全只會換來表面的關係。
[02:23] 主持人：你以為順從別人就能獲得好人緣嗎?書中點出了一個非常殘酷的真相。
