[00:00] 小时候总认为幸福是一味的甜
[00:03] 长大才懂
[00:05] 有甜有苦
[00:06] 才是属于大人的韵味
[00:08] 哈根达斯比利时巧克力
[00:11] 严选72%可可
[00:14] 绵密的冰淇淋
[00:16] 再加入薄脆巧克力片
[00:18] 苦甜浇汁
[00:19] 沉泽于黑巧克力的浓郁香醇
[00:23] 哈根达斯比利时巧克力
[00:26] 专属于大人的精致品味
[00:30] 这很像是那种
[00:31] 就是隔壁早餐店
[00:33] 或是你隔壁的餐厅
[00:34] 就会就说
[00:35] 我家隔壁
[00:36] 我没去过
[00:37] 对
[00:37] 就那种感觉
[00:38] 对
[00:39] 就是已经都已经很熟了
[00:40] 就觉得
[00:41] 好像也不知道要讲什么
[00:42] 所以就
[00:43] 而且也不会想到
[00:44] 要找你
[00:45] 就因为我们的节目
[00:46] 通常都在讲职场什么的
[00:48] 我职场也很有经验
[00:49] 对
[00:50] 他会想说
[00:50] 刚好出新书是个机会
[00:52] 对
[00:52] 人生迷惘
[00:56] 职场内好
[00:57] 欢迎收听
[00:58] 任性欧逆
[00:59] 机智生活
[01:00] 欢迎收听
[01:15] 任性偶尼
[01:15] 机智生活
[01:16] 我是Mandy
[01:17] 曼蒂
[01:17] 我是神灯教母
[01:18] Ivy
[01:19] Ivy
[01:20] 你知道我们两个
[01:21] 都是理财白痴
[01:22] 真的耶
[01:23] 还好
[01:24] 我觉得我运气很好
[01:25] 是我认识蛮多理财老师
[01:27] 慢慢有让我进步一点
[01:29] 对
[01:29] 所以我们节目其实蛮少聊理财的
[01:32] 就是访问理财相关的
[01:34] 有啦上次有访问倩华姐啊
[01:36] 但讲的是亲子类的
[01:38] 然后还有就是
[01:39] 之前的那个
[01:41] 聪明主妇
[01:44] 对对对对
[01:45] 好哥啊
[01:46] 好哥可是我们不是聊到钱
[01:48] 不是聊到钱
[01:49] 对
[01:49] 讲到讲要阅读这件事情
[01:50] OK
[01:51] 对今天我们来到
[01:52] 我们今天邀请了一位
[01:54] 我们的专家
[01:55] 我们跟他认识超级久
[01:57] 但从来没有想过来约到他
[01:58] 还好他出书了
[02:01] 好像家里就是旁边有早餐店
[02:04] 但从来没来过
[02:05] 对我们就是这种情况
[02:07] 好我们要来欢迎金算妈咪Sandy 2
[02:10] 铺鸿坦
[02:12] 哈喽大家好
[02:13] 我是陪你金算生活创造理想人生的Sandy 2
[02:16] 很高兴来到过节目
[02:18] 终于要约他来了
[02:20] 真的
[02:21] 他这次出了一本新书叫
[02:22] 值得过上好日子
[02:24] 我超喜欢这个书我也很爱这个书因为我就是一看了就觉得说哇 有暖到这样子对然后我后来里面翻了一番我发现就是你知道吗因为其实我每次看那个兔兔啊
[02:37] 我就是觉得说
[02:38] 只要谈到理财这件事情
[02:40] 我觉得他整个人就是光满
[02:42] 他会发光
[02:43] 他会发光
[02:44] 对
[02:45] 然后会滔滔不绝
[02:46] 可是他不会
[02:47] 他不会一直跟你谈理财这件事情
[02:49] 我只是觉得说
[02:50] 他在谈理财跟钱这件事情上面的时候
[02:53] 对我来说
[02:55] 就他是发光的
[02:56] 就我也仰望他
[02:58] 这样子
[02:58] 然后我也觉得
[02:59] 他讲的东西
[03:00] 非常有趣这样子
[03:01] 然后因为我之前
[03:02] 他卖课的时候
[03:03] 我有买
[03:05] 所以我在线上
[03:05] 你说家庭理财
[03:06] 那个线上课
[03:07] 我有乖乖的在线上
[03:08] 我大概看至少
[03:09] 看课率只有5%的话
[03:10] 我至少看了一半
[03:12] 50%是不是
[03:13] 对啊 看50%
[03:14] 然后我就觉得
[03:15] 他讲的非常有道理
[03:17] 然后都是
[03:18] 我觉得听起来很容易
[03:20] 可是
[03:20] 你不会理财人
[03:22] 就是
[03:22] 都没有这个脑袋
[03:24] 但他讲的是真的
