排名,Podcast,主持人,聲量分,提及分,互動分,跨平台分,優點,Meta_AI_SEO_建議,宣傳操作建議
1,郝聲音,郝旭烈,91.5,88.8,92.8,93.8,跨界聯名效應最強；1100集里程碑；新書轉換高,來賓貼文用 IG 協作發布，一篇同時出現在兩邊。Hashtag 固定 #郝聲音 #郝旭烈 #主題,1. 財經KOL聯名直播導流 2. 1100集UGC徵集「一句話改變我」 3. 新書讀書會線下場
2,哇賽心理學,蔡宇哲,88,85.3,89.3,90.3,短影音穿透力強；心理學議題共鳴高；與郝哥聯名,Reels 封面放大字＋上字幕。置頂 3 則：節目介紹／最新集精華／關於蔡宇哲,1. 短影音二創挑戰 #我的課題分離時刻 2. 企業EAP心理講座合作 3. 心理測驗互動貼文
3,航海王的富人學,美股航海王,85.5,89.4,86.4,79.5,Threads 討論熱度高；投資圈自然帶量,發文第一行寫 Podcast《航海王的富人學》避免跟動漫混淆。Hashtag 固定 #航海王的富人學 #美股航海王,1. Threads 每週美股QA固定欄目 2. 與券商異業合作 3. 讀者持倉分享UGC
4,小資變有錢,Dr.Selena,83,86.8,83.9,77.0,UGC 二創爆款 631理財法；理財圈擴散強,IG 發文打開 Threads 同步開關。Bio 放 Linktree，第一顆按鈕就是 Apple Podcast《小資變有錢》,1. 631理財法打卡挑戰 2. 媽媽社群團購理財書 3. 與記帳APP聯名
5,科技領航家,朱楚文,73,70.3,74.3,75.3,AI 領導力專訪；跨平台 IG+Threads 雙棲,每篇用 Hashtag 三件組 #科技領航家 #朱楚文 #主題。置頂最新專訪 Reels,1. AI領袖對談短影音切片 2. 科技媒體轉載 3. LinkedIn同步擴散
6,精算媽咪的家計簿,珊迪兔,62.5,62.5,62.5,62.5,新書帶動聲量；媽媽自我照顧議題黏著高,來賓貼文互 tag 協作發布。Bio 連結放 新書＋Podcast 收聽頁,1. 媽媽社團家計簿分享活動 2. 新書讀書會 3. 親子品牌合作
7,加班當爸媽,CherryCoco,60.5,60.5,60.5,60.5,職場父母情緒勞動共鳴高；心理師合作內容優,Hashtag 固定 #加班當爸媽 #CherryCoco。Reels 一定上字幕，提升搜尋可見度,1. 職場父母匿名投稿企劃 2. 心理師IG Live連線 3. 企業福委會合作
8,我不是病人，我是卡姊！,卡姊,60.5,60.5,60.5,60.5,情感賦權標語傳播力強；校園講座 UGC 佳,置頂講座精華 Reels。Hashtag 固定 #卡姊 #溝通力 #我不是病人,1. 溝通力金句圖卡二創 2. 校園巡迴講座 3. 聽眾故事徵集
9,蘇心時光,蘇絢慧,50,50.0,50.0,50.0,IG @graceswr 穩定輸出隱性內耗系列；互動穩定,IG 打開 Threads 同步。置頂三連發：節目介紹／最新一集／關於蘇絢慧,1. 隱性內耗測驗互動 2. IG限動問答每週固定 3. 心理師同業互推
10,慢慢長出來,Z研,48,48.0,48.0,48.0,療癒系長尾滲透；Z系 Podcast 互導,Hashtag 固定 #慢慢長出來 #Z研。找關聯帳號用協作貼文互導,1. 療癒語錄圖卡 2. Z系Podcast串聯 3. 深夜陪伴直播
11,蕭老師別這樣,蕭老師,45,45.0,45.0,45.0,懷舊校園梗有記憶點,發文標註 Podcast《蕭老師別這樣》避免跟蕭薔/蕭正浩混淆。Hashtag 固定 #蕭老師別這樣,1. 懷舊校園梗迷因化 2. 校友社群擴散 3. 老師聽眾投稿
12,說話人聲,林依柔,38,38.0,38.0,38.0,內向者表達力受眾精準；聲音教練專業度高,Reels 封面放大字＋節目名。Bio 放 Linktree：課程＋Podcast 收聽連結,1. 30秒發聲練習短影音 2. 企業內訓合作 3. 聲音診療免費體驗
13,宋家小館,Becky,38,38.0,38.0,38.0,創業自救故事共鳴；媽媽自我照顧議題,Hashtag 加 #Podcast 避免跟餐廳混淆，如 #宋家小館Podcast。置頂節目介紹,1. 創業媽媽故事徵集 2. 女性創業社群合作 3. 單集圖卡菜單化
14,慢活夫妻,Dewi&George,30,30.0,30.0,30.0,美股投資夫妻檔定位清晰；長尾穩定,IG 貼文同步發圖卡版。Hashtag 固定 #慢活夫妻 #慢富,1. 美股每週觀察懶人包 2. 夫妻理財對談Reels 3. 投資社群互推
15,一不小心太漂亮,崔咪,28,28.0,28.0,28.0,抗癌復出故事感染力強,Hashtag 加 Podcast 標註避開美容噪音，如 #一不小心太漂亮Podcast。Bio 放節目連結,1. 抗癌復出故事媒體投稿 2. 漂亮語錄圖卡 3. 病友社群合作
16,媽媽好神經病,Cynthia Huang,25,25.0,25.0,25.0,三位媽媽主持人選題廣,三帳號 @wondermomswonder @elijahkewley1201 @cindy1020 用協作貼文互導。置頂節目介紹,1. 三媽輪播Reels 2. 媽媽崩潰投稿企劃 3. 親子品牌業配串聯
17,夢想家說股事,美股夢想家,25,25.0,25.0,25.0,圈內粉絲忠誠度高,增加 IG 圖文版擴散。Hashtag 固定 #夢想家說股事 #美股夢想家,1. 美股盤前快訊Threads 2. 投資筆記共筆 3. 理財KOL互推
18,莫轉台-試穿新人生,莫菲,20,20.0,20.0,20.0,穿搭×人生議題差異化,找圖文創作者協作貼文。Reels 封面放大字：莫轉台 EPxx,1. 穿搭×人生金句圖卡 2. 小眾選物合作 3. 聽眾改造投稿
19,人類行為研究社,張忘形,20,20.0,20.0,20.0,哲學×行為科學定位獨特,IG 名稱欄可加註 節目名。Hashtag #人類行為研究社 #張忘形。置頂三連發,1. 行為科學冷知識短影音 2. 心理/哲學帳號互推 3. 讀書會直播
20,聽進理投,李柏鋒,18,18.0,18.0,18.0,投資理財專業背景強,增加 Threads 發文頻率，IG 同步過去。Bio 放 Podcast 收聽連結,1. 理財觀念懶人包圖卡 2. 財經媒體合作 3. 讀者QA固定欄目
21,能量黑客,林程揚,15,15.0,15.0,15.0,能量×黑客主題差異化,把 FB hankdashu 內容同步到 IG／Threads。Hashtag 加 #Podcast 避免跟資安新聞混淆,1. 每日能量語錄 2. 身心靈市集擺攤 3. 療癒系帳號互推
22,電扶梯走左邊,Jacky,8,8.0,8.0,8.0,節目名記憶點強,發文標註 Podcast《電扶梯走左邊》避免手扶梯禮儀混淆。建立官方 IG 並置頂節目介紹,1. 生活觀察迷因化 2. Jacky個人IP短影音 3. 通勤族時段投放
