[00:00] 主持人：歡迎來到好聲音。
[00:08] 來賓：人都可以被取代，你不能自我膨脹，你在其位的時候，人家找你，可是當你不在其位的時候，有人頂替，當然會亂一下下，但是之後又好了。那這個其實就是，假設這個想通之後，有很多好處，就是將來你也許在創業過程裡面有些夥伴會離開，或者你的幹部培養一陣子，他也可能出去，不在你公司的。或者是你在併購公司的時候，也會走掉一部分的人。那其實如果你有這個想法，那不見，你就覺得好像沒有那麼嚴重了。
[00:46] 主持人：對。
[00:46] 來賓：反正走也是會正常的，那再頂替就好。甚至於有時候你在，在這個，以前我們曾經就是很多一階走掉以後，那其實想要空��，空降來以後可能定著率都很低。
[01:01] 主持人：沒錯。
[01:01] 來賓：那最後就變成，乾脆把第二階拉起來，旁邊的拉下來就好了。那其實這用到一個觀念就是軟性實力跟硬性實力的問題，也就是通常來講，軟性實力是很難，也就是所謂的天性。就你是不是積極，是不是有學習能力，是不是負責任，是不是熱心，是不是能夠有邏輯，有表達能力，這些所謂的叫做天性。但硬性實力其實是來之後，在崗位上有人會教你，天天摸一樣東西，不是那麼慢。
[01:35] 主持人：對。
[01:35] 來賓：所以其實這在我來看其實就是說，本質上就是軟性實力才是重點。
[01:41] 主持人：才是關鍵。
[01:42] 來賓：不是，每一個人都可以被取代，只是他只要賦予他責任，你不敢拉旁邊的過來是因為他沒有負責過這件事。
[01:50] 主持人：沒錯，沒做過。
[01:51] 來賓：但是他本質是不錯，你給他三個月，他搞不好就做得很好。這個我過去試驗過都覺得很OK，所以不一定要空降。甚至於把第二階拔起來當第一階，其實都做得很好。
[02:04] 主持人：呀。
[02:04] 來賓：這是過去我的經驗就是，其實認為就是軟性實力才是最重要的。
[02:10] 主持人：哇，這KD你這樣說，讓我醍醐灌頂，尤其你剛剛那句話，就是問題不會有個盡頭的，因為其實解題就是人生嘛。
[02:20] 來賓：對。
[02:20] 主持人：那真正的關鍵是你怎麼去看待把它變成日常。
[02:24] 來賓：對。
[02:25] 主持人：那如果是既然是日常的話，你就不可以就是一直在工作的過程當中，不給自己有放鬆跟休息的機會，那那就完了。
[02:33] 來賓：對啊。
[02:34] 主持人：對不對？
[02:34] 來賓：就不能平衡啊。
[02:35] 主持人：你不能平衡啊。
[02:35] 來賓：不能平衡就不能走很遠啊。
[02:36] 主持人：對，就不能走很遠。
[02:38] 來賓：你心就不能平靜。那碰到問題，你就不能冷靜的處理，所以這個其實都是相關的。那這裡面有一個要想通的地方就是，也算是我座右銘嘛，就是變成是樂觀積極隨緣。
[02:42] 主持人：真的。
[02:52] 主持人：樂觀積極隨緣。
[02:53] 來賓：也就是很多事情我都正面看，盡量做，盡量弄，弄到最后一个moment，但也許還是失敗啊。失敗就笑一笑，那就是上輩子欠人家的，就是阿公阿嬤，周公周罵欠人家的，你還掉就好了。要不然你一定怨天尤人。
[03:11] 主持人：怨尤人。
[03:12] 來賓：怨天尤人，為什麼我這麼努力還是不成功，為什麼這樣，那下次就算了，不要做了。那你就會upset下去。那所以這個都是要能夠翻轉起來，就是要一個觀念就是，反正不如意十之八九，你盡力去做，也會失敗，就所謂盡人事。
[03:29] 主持人：聽天命。
[03:30] 來賓：聽天命。我已經盡力了，那我就不欠人家的嘛，我就問心無愧。那就算失敗了，我就上輩子欠人家，我再找新的。所以這樣的話就會讓你變成是說，在奮鬥過程裡面不會說因為一個挫折，然後就upset就沉下去，就不想再起來。
[03:49] 主持人：對。
[03:50] 來賓：那這個其實就是心態上可能要去改變的。
[03:54] 主持人：對。
[03:54] 來賓：那隨緣其實有兩種，一種就是就是消極的隨緣。
