[00:00] 主持人：歡迎來到好聲音。
[00:08] 主持人：大家好，我是好學好歌，歡迎來到好聲音。那這一集我們繼續來聊超級業務力。非常開心邀請到好哥心目中的我的老師，我的老師，林明樟老師，MJ老師來跟我們聊這堂課程。請MJ老師跟大家問好。
[00:23] 來賓：大家好，好哥好，我是MJ林明樟。
[00:25] 主持人：我們上一集呢特別提到，因為其實好哥一開始呢，認識MJ老師是從超級數字力開始。那數字呢其實不是只是數字，它其實某種程度上是一個財務資源的看待。
[00:37] 來賓：對，沒錯。
[00:38] 主持人：因為我們講說三表，它坦白講的話，是以金流當作是資源嘛，但是公司內部是有非常多的資源。就像上一集老師特別提��，假設你要買貨、買料，甚至你要產能，這都是資源。而最後呈現呢是這個三表。但你要把資源呢不是留在自己家裡面，你一定要交換完畢之後，才能變成自己想要的資源，那就是業務嘛。所以我們上集特別聊到兩個非常重要的觀念。
[00:57] 主持人：一個是這堂課程，我們講超級業務力，就是怎麼樣能夠透過價值交換去解決別人的問題，帶給別人價值，然後得到我們自己想要的價值。但是回過頭來，你不能只一新往前衝，不知道自己有多少資源，跟獲得多少資源。多少資源是能夠提供給別人的東西，那獲得多少資源是從別人身上呢，我們交換回來的東西。那個就特別要需要財務這個數字，隨時做反饋了嘛。
[01:25] 主持人：但說句老實話，老師其實在上一集的時候特別一開始就破題了。別人賺一億的時候，他是1歐元，不是1億台幣。
[01:33] 來賓：對，歐元是我的40倍。
[01:35] 主持人：那別人賺100億的時候，我們賺100億，他還是歐元，那還是四五十倍。其實裡面有個非常重要的概念就是，別人他可能是打一個團體戰。
[01:40] 來賓：沒錯。
[01:44] 主持人：是打一個系統戰。那我們如果是單打獨鬥，你永遠就是雙拳難敵四手嘛。所以老師裡��特別提到的，其實在課程裡面有兩個非常我認為是超級亮點。一個是要打造一個所謂營運的系統，就是銷售飛輪。另外一個是打造人才的系統，是可複製的。老師我們現在來聊聊，什麼叫做銷售飛輪，可複製的這種所謂的遊戲規則。
[02:12] 來賓：飛輪的意思是說，就不要只靠自己。
[02:15] 主持人：對。
[02:15] 來賓：你如果一個很厲害，那你離開之後怎麼辦？
[02:18] 主持人：呀。
[02:18] 來賓：所以如果一個超級業務離開之後，那公司是不是業績下降？這個也是不能接受的，因為公司要持續穩定，長期穩定獲利嘛。
[02:25] 主持人：對。
[02:26] 來賓：所以要有這個心態，你就會知道說，厲害業務包含你自己，那你生病怎麼辦？
[02:31] 主持人：對。
[02:32] 來賓：我當年就是因為我生病，突然公司六個月沒薪水，我就哇，這件事不對的，這是第一個。第二個就是我自己以前在上市公司負責了除了美國跟中國不是我管，全球的銷售團隊都是我管。
[02:40] 主持人：都是你管。
[02:43] 來賓：我離職的時候，董事長跟我講。
[02:44] 主持人：嚇壞了。
[02:45] 來賓：你太厲害了，你可不可以幫我一年？
[02:47] 主持人：嚇壞了，開玩笑。
[02:49] 來賓：然後結果我留下來，真的多幫一年喔，不是我要留喔，是董事長請我留喔。
[02:53] 主持人：對。
[02:53] 來賓：然後離開的時候，他居然獎金只給我過去的十分之一，我就很生氣。
[02:57] 主持人：嗯。
[02:58] 來賓：那我離開的時候其實帶著怨氣說，我離開之後公司一定倒了，因為一個人就負責那麼大的業績。
[03:04] 主持人：對。
[03:04] 來賓：結果你看，離開十多年還是好好的。
[03:06] 主持人：那代表你教得好啊。
[03:08] 來賓：沒有，代表公司有系統。
[03:10] 主持人：對。
[03:11] 來賓：我當時出門就代表5000億集團嘛。
[03:13] 主持人：對。
[03:14] 來賓：所以做生意是有什麼難？自己出來才發現才，你什麼都沒有，你是nobody，才發現哇我沒系統，就開始打造系統。因為只有系統才能夠承接任務，因為一個訂單進來，不可能就是出貨，就這麼簡單貿易。你可能有製造，你可能有服務，你可能細節。所以每一環扣一環，所以只要一環沒中就沒有了。我最常講就是，大家以為做業務就是反正我接到訂單，把貨交出去，不是的。把貨交出去的過程是相乘的概念。每一個人都要成為1乘1乘1，我才能交付那個1。
[03:46] 主持人：沒錯。
[03:47] 來賓：但如果前面業務是1，後勤是0.5，出貨是0.1，好，那不好意思，交出去就0.05。
[03:52] 主持人：0.05。
[03:54] 來賓：對，0.05，所以客戶就不滿意了，就不會有訂單。
[03:56] 主持人：對。
[03:58] 來賓：所以銷售飛輪的概念就是，你能不能調動全公司的資源一起幫助客戶成功，然後一起幹嘛？完成這個任務，然後得到訂單嘛。
[04:08] 主持人：對。
[04:09] 來賓：達到那個營業額，得到利潤，然後一直持續啟動叫飛輪。
[04:14] 主持人：對。
[04:15] 來賓：好，比如說我舉例好，我們前陣子，前幾年，我們前幾年有夥伴，我自己的團隊。然後業務接到訂單，那後勤就說，啊這個怎麼都沒有事先講？我就停，業務能夠事先講的話，他早就變神了。
[04:32] 主持人：對。
[04:32] 來賓：業務就是猜不中嘛。
[04:34] 主持人：對。
[04:34] 來賓：那我們身為後勤要幫他。所以大家一定要有一個teamwork的概念。我就把所有的員工找回來，就扣回來，停，我們先暫停一下，我們順一下流程，那這流程，好，那如果有急單，那業務有急單是應該，那我們可不可以限制它就好了？
[04:49] 主持人：對。
[04:50] 來賓：一個月就一個人三次扣打。那你急單太多也代表你可能��市場掌控不夠。
[04:55] 主持人：不夠。
[04:56] 來賓：那你如果用多的話，你就請別的業務給你急單的扣打。那就控制數量了。就說這樣後勤就可以做了嘛。然後我就說，那好，剛好有這個緣分，我們就全部改名字。然後業務呢，你不要老是想砍單，你砍單就是欺負客戶嘛，你沒有把客戶當人，你把客戶當數字。
[05:13] 主持人：沒錯。
[05:14] 來賓：所以我們是，你就改名字，改什麼？他們就改叫客戶成功部。
[05:18] 主持人：客戶成功部。
[05:19] 來賓：我說你後勤要改，你每次都限制別人這個不能做，那個不能做，那大家把公司收一收就好了。
[05:24] 主持人：對。
[05:25] 來賓：都是SOP，那我們不是公務人員。那你改名字，改什麼？他說，啊那好吧。
[05:30] 主持人：對。
[05:30] 來賓：那我叫幸福管家。
[05:31] 主持人：幸福管家。
[05:32] 來賓：就是要給客戶幸福。那那個我們的那個設計，設計的團隊呢，他就叫那個美好生活事務所。
[05:41] 主持人：啊，美好生活事務所。
[05:42] 來賓：我設計的東西有沒有讓人家感覺很美好，所以我們包裝都不太一樣就這樣。
[05:45] 主持人：對。
[05:46] 來賓：然後我們的行銷呢，就叫做對的事情一直��。
[05:50] 主持人：啊。
[05:50] 來賓：你不要一直搞東搞西，所以我們的團隊就有了，好，這是一個那個一套系統。那再來就是業務為什麼沒有常常會做做做就離開，那我們就發現其實大家給業務的底薪太低。
[06:03] 主持人：對。
[06:04] 來賓：所以我自己創業五年前，我就做了幾個特例。第一個，我的講，我的所有的員工的薪水都比業界多一點。
[06:11] 主持人：呀。
[06:12] 主持人：那他基本上在你這個地方，就可以比到其他的地方，這個機會成本來得高，對不對？這個很重要。
[06:18] 來賓：對。
[06:20] 來賓：第二個呢，我的獎金是無上限。
[06:22] 主持人：嗯。
[06:22] 來賓：我這件事情很重要。
[06:23] 主持人：對。
[06:24] 來賓：能賺多少都是。
[06:25] 主持人：所以我們最厲害的業務有時候一個月可以拿到100多萬獎金。
[06:28] 來賓：我舉前幾天發生的事情，台北馬剛結束，巨越黃金甲現場賣了170幾萬，快180萬。那因為當時五年前我就講，因為在外面擺攤真的很累，你要搬貨、裝載、卸貨，然後結成交，然後交貨這些，只要當不管是多少業績，無上限10%給大家，所以那幾個人就分了18萬。
[06:49] 主持人：所以他等於是他自己當自己的���闆。
[06:51] 來賓：對。
[06:52] 主持人：所以你就不用去盯他，你要嘛賣好，不需要，因為他自己如果這樣的一個incentive，他足夠大的時候，他就有動力。
[06:59] 來賓：對。
