[00:00] 人生迷惘 职场内好
[00:03] 欢迎收听 任性逆逆 机智生活
[00:06] 欢迎收听 任性逆逆 机智生活
[00:15] 我是Mandy 曼蒂 逆逆
[00:17] 我是神灾教母 艾比
[00:18] 艾比 今天呢
[00:20] 我们要采访一位作家
[00:22] 作家?
[00:24] 作家 旅游作家
[00:25] 很酷耶 这跟你很搭
[00:27] 跟我很搭对不对
[00:28] 但是呢
[00:29] 这一位呢
[00:30] 就是不是我们主动
[00:32] 那个特别情商约过来的
[00:35] 而是被出版社推荐的
[00:37] 对出版社有推荐
[00:38] 希望希望
[00:39] 他好像有一本
[00:40] 有一本书
[00:41] 然后是跟慢旅相关
[00:43] 然后问我们有没有适合的
[00:45] 那个节目可以专访
[00:47] 对
[00:48] 然后我就想到你
[00:49] OK
[00:49] 然后我拿到这本书的时候
[00:51] 我才发现
[00:52] 作家是我的朋友
[00:53] 你朋友在出书
[00:56] 你都不知道
[00:57] 真的不知道
[00:58] 因为他是我们旅游行业失散的部落客
[01:02] 早期是部落客
[01:04] 现在不能说是部落客
[01:05] 现在都是KOL了
[01:06] 而且因为他们对现在的做旅游的KOL来说
[01:12] 他们可能都是老前辈了
[01:15] 真的耶
[01:17] 资历比较深
[01:18] 资历比较深
[01:19] 我们先把这一位请出来
[01:21] 这一位是翘胡子旅行团的姐姐
[01:26] Jesse
[01:27] 我们欢迎Jesse
[01:29] 他们这个旅行团
[01:31] 其实是两位
[01:33] 是一对姐妹
[01:34] 哦 是这样
[01:35] 对
[01:36] 然后妹妹的专责是什么
[01:39] 你们的分工啊
[01:40] 应该说就是最开始的时候
[01:42] 我们的分工是我写字
[01:44] 然后妹妹就是做设计和摄影
[01:47] 但是后来因为就是
[01:49] 一些各式各样的生涯规划
[01:51] 所以现在是只有我在做这件事情
[01:53] 妹妹是毕业以后
[01:55] 她就去当上班主了
[01:56] 哦 对
[01:57] 所以现在团主跟团员
[01:59] 就是您一位
[02:00] 就是我本人
[02:01] 对对对
[02:01] 妹妹就是偶尔可以停下
[02:03] 她也是一人公司
[02:04] 她也是一人公司
[02:05] 对
[02:05] 对 跟好跟你在做的事很像
[02:07] 对
[02:07] 然后我今天看了她的那个网站
[02:10] 我想说哇 网站好精致
[02:12] 而且内容超丰富
[02:13] 就又文章
[02:15] 然后又业配
[02:16] 然后又总之非常的厉害
[02:18] 还有业配喔
[02:19] 等一下可以聊一下
[02:21] 还是要有业配
[02:23] 不然活不下去
[02:24] 怎么活对不对
[02:24] 先聊聊我跟那个Jesse的缘分好了就是其实我们是在对岸认识的我那时候是去对岸出差
[02:35] 然后也服务在那个对岸的公司服务
[02:38] 然后就有人帮我介绍
[02:40] 因为想说你在那个异乡啊
[02:42] 这么辛苦啊
[02:43] 然后人生地不熟啊
[02:45] 什么都不知道
[02:46] 那我帮你介绍另外一位人生地不熟的好吗
[02:49] 我说好啊
[02:50] 当然怀疑在大陆还可以遇到
[02:53] 就是台湾人一定要认识这样子
[02:55] 然后那时候他就说
[02:56] 这位啊你一定要认识
[02:57] 因为他很厉害
[02:58] 他是Lonely Planet的作家
[03:01] 因为那个书Lonely Planet
[03:03] 就是孤独星球
[03:05] 是我们旅游业的人都知道
[03:07] 他其实就是一个非常厉害
[03:09] 这么厚的旅游指南
[03:11] 你是他的作家
[03:13] 对
[03:14] 我跟他算是他们的就是作者
[03:17] 然后就是跟他们合作
[03:18] 帮他们写旅游书
[03:19] 然后事实上就我们当时认识的那一次
[03:22] 就刚好那时候
[03:23] 其实是我的第一本书
[03:24] 对
[03:25] 就我那时候刚好去成都
[03:26] 就是写我的第一本自然
[03:28] 对
[03:28] 然后就是朋友就推荐说
[03:30] 有另外一个台湾人在这里
[03:31] 你们要不要一起吃个饭
[03:33] 然后我就想说好啊
[03:34] 就很开心啊
[03:36] 你懂吗
[03:37] 这样子
[03:38] 当然好
[03:39] 对
[03:39] 所以第一次认识
[03:40] 然后就去吃饭
[03:41] 那因为成都四川都是辣的东西
[03:44] 所以我们两个就说
[03:45] 我们要选不辣的
[03:46] 对对对
[03:49] 我很有印象
[03:51] 有 我觉得我们那时候吃了米线
[03:53] 米线 云海米线
[03:54] 对对对
[03:54] 你们这个缘分后来
[03:56] 后来你们在成都
[03:57] 就是一直都有联系吗
[03:59] 就你们在那边待了多久
[04:00] 其实我待了
[04:02] 我那时候算是树直嘛
[04:04] 所以我就待两个礼拜而已
[04:06] 但是他不让他是写书
[04:08] 所以我也很好奇
[04:10] 身为孤独星球的作家
[04:12] 请问你在一个城市
[04:14] 你那时候算是成都市吧
[04:17] 对不对
[04:18] 你在写的
[04:19] 应该说我那时候分配的是成都
[04:22] 然后成都的周边
[04:23] 然后还有四川的中部
[04:25] 就是可能大家会比较不熟悉
[04:27] 有一些叫做什么雅庵啊
[04:29] 或什么地方
[04:29] 因为就那个孤独星球特色
[04:31] 就是他们会写到很多
[04:33] 就是比较可能在台面上
[04:36] 不那么热门的地方
[04:37] 对对对
[04:38] 所以我当时还去了四川中部
[04:40] 就很多可能台湾人
[04:41] 比较不熟悉的地方
[04:42] 所以这样写一本
[04:43] 要待在那个地方待多久
[04:45] 我当时实际待在四川考察
[04:48] 是大概一个半月左右
[04:50] 都没有回来台湾
[04:53] 没有没有
[04:53] 就是一个半月
[04:54] 然后每天很密集的去采访然后还有采点这样子然后回台湾以后再开始写稿所以我也很好奇就是你的采点跟采访
[05:06] 像我们旅游业去做采访跟采点的话
[05:08] 是人家都会招待的
[05:11] 就是住宿啊或是吃啊或什么的
[05:14] 你们的状况呢
[05:15] 我觉得这点很有趣
[05:17] 因为我后来是
[05:18] 就是也是同时身兼两个身份嘛
[05:20] 就我除了旅游坐着以外
[05:21] 还是部罗克
[05:22] 然后以部罗克身份出去的时候
[05:24] 真的就是所有东西都是用得好好
[05:26] 规划好
[05:27] 你就是只要跟去
[05:30] 然后就会吃很好
[05:31] 然后住很好
[05:32] 然后就舒舒服服
[05:32] 所有事情交通都帮你安排好
[05:34] 但是在写旅游说的时候就完全不一样
[05:37] 就是旅游说的时候
[05:38] 编辑只会给你你要写的目的地
[05:41] 然后你就要自己开始上网做所有的功课
[05:44] 然后就是你做完所有功课
[05:46] 你要在出发前把所有你预计想要采访的住宿啊
[05:50] 预计想要采访的食物啊
[05:53] 预计想要采访的景点
[05:54] 还有你要写多少字
[05:55] 全部都列好给编辑
[05:57] 然后编辑省过了你的大纲以后
[06:00] 你就拿了钱你就出发了
[06:02] 然后出发以后你就是一个人
[06:03] 就是去采完所有的点
[06:05] 然后很有趣的地方是
[06:06] 因为就是孤独星球是一个
[06:08] 我有时候都会开玩笑说
[06:10] 它是一个有点洁癖的出版公司
[06:12] 就是它很主张要就是真实的旅游经验
[06:16] 所以我们当时是被要求
[06:19] 我们甚至是不能透露身份的
[06:21] 就是我不能直接跟店家说
[06:22] 我是要来采访的
[06:24] 因为他们觉得
[06:25] 如果你今天透露出
[06:26] 你是来采访
[06:27] 或是来写书的话
[06:28] 你得到的招待
[06:29] 会跟一般的客人的体验
[06:31] 不一样
[06:32] 对
[06:33] 对
[06:33] 因为他
[06:34] 然后他就觉得
[06:35] 那你的那个
[06:36] 可能会失真
[06:37] 或者是他可能会
[06:38] 帮你升等啊
[06:40] 或什么
[06:40] 那个他们觉得
[06:41] 那个东西就不够真实了
[06:42] 对
[06:43] 然后所以我去那里的时候
[06:44] 就是被要求
[06:45] 我不能说
[06:46] 我是来采线的
[06:48] 我就是要假装
[06:48] 我是一个
[06:49] 普通的旅行者
[06:51] 然后就是自己来玩
[06:52] 然后也因为这样就其实发生了很多很有趣的事情
[06:55] 因为像是有时候要去住
[06:57] 就是我们采访就是会有便宜的旅馆
[07:00] 也会有比较高级的饭店嘛
[07:01] 然后但是其实
[07:03] 写一本旅游书的旅游预算
[07:06] 是不足以让你去住每一间高级饭店的
[07:08] 确实啊
[07:09] 对
[07:09] 然后所以当时
[07:11] 然后你又要不能说你是来采访的
[07:13] 所以当时就真的要想尽各种办法
[07:16] 找借口
[07:17] 然后跟饭店的人就是聊天
[07:19] 然后设法去闯入
[07:22] 去参观他们的房间
[07:23] 然后所以当时就要
[07:24] 想很多借口什么我在这里工作但是我的家人就是隔两周要来我可以先看看房间吗就是我在帮他们调住宿他们对住宿的品质很要求
[07:35] 就是会找很多很奇怪的借口
[07:37] 在看感觉只有偶像剧妹才会出现的情节
[07:40] 我觉得我很像什么那种秘密探员
[07:44] 然后那里就是
[07:44] 对对对对
[07:45] 很像神秘访客的感觉
[07:48] 对对对
[07:49] 我觉得还蛮有趣的
[07:50] 就是跟作为一个部落客或什么身份出去
[07:53] 是完全不一样的经验
[07:55] 哇好好玩喔
[07:56] 所以其实就变成那时候
[07:57] 其实做旅游
[07:59] 作者
[08:00] 其实你变成你要
[08:01] 虽然脑筋要变
[08:02] Kill的地方会比较多
[08:03] 对不对
[08:04] 对对对
[08:05] 跟着那个旅行社去采线
[08:07] 就可以无脑了
[08:08] 然后我只要拍漂亮的照片
[08:10] 然后写一写
[08:11] 推荐怎样就好
[08:12] 但是写书又是另外一回事
[08:14] 就真的是完全不一样
[08:16] 完全不一样的事情
[08:17] 而且因为就是
[08:18] 如果是跟旅行社出去的话
[08:20] 其实旅行社真的
[08:21] 所有东西都规划好
[08:22] 你是不会有问题的
[08:24] 但是写书的过程里
[08:25] 你其实就像在自助旅行
[08:27] 然后我相信很多
[08:28] 去自助旅行过的人
[08:29] 都会有类似的接近
[08:30] 就是就算你事前规划的再好
[08:32] 当地都还是会有
[08:33] 土霸的状况
[08:34] 还需要处理的状况
[08:35] 那我想好奇
[08:36] 就是你写那个书的时候
[08:38] 那些踩的那些点
[08:39] 你是怎么找到的
[08:41] 就是
[08:42] 还是会有人推荐你
[08:44] 就是三个管道
[08:45] 第一个就是
[08:45] 我会先就是去
[08:47] 不管是找
[08:48] 别人出版过的书籍
[08:50] 或是对
[08:51] 就是参考已经出版的书籍
[08:52] 然后另外一个话
[08:53] 就是上网路去找
[08:54] 就是在网路上
[08:56] 就是各种
[08:57] 要做功课
[08:58] 要做很多很多的功课
[09:00] 就是其实就是
[09:01] 我常常在说
[09:02] 就是旅游坐在跟大家
[09:03] 想象很不一样的地方
[09:04] 是大家都觉得
[09:05] 我们好像一直在旅行
[09:06] 因为其实你会分享
[09:07] 在网路上的都是
[09:08] 你打卡在国外的时间
[09:10] 或什么
[09:11] 但是其实就是
[09:12] 以写一本书来说
[09:14] 我可能像实际出去
[09:15] 可能就是像刚刚说的
[09:16] 一个半月两个月
[09:17] 但是我前置可能
[09:19] 我会先用一个月的时间
[09:20] 查资料
[09:21] 然后后面可能会有一两个月的时间
[09:23] 在写稿和交稿
[09:25] 就是其实你实际上在写字的时间
[09:28] 是比在旅游时间多很多的
[09:30] 所以在外面一般人眼光中
[09:32] 看就觉得很爽耶
[09:34] 又玩又可以赚钱
[09:35] 怎么那么爽
[09:37] 其实他们必不爽
[09:39] 对
[09:39] 所以我在看Jesse的书的时候
[09:43] 开宗明义就写说
[09:45] 他觉得就是当旅游的作家
[09:48] 然后跟这个所谓的去旅游玩
[09:52] 是完全不一样的事情
[09:54] 我想说
[09:54] 我以为只有我们旅游业者
[09:56] 才会有这样的感触
[09:58] 没想到连旅游作家都这么
[09:59] 所以是不是只要
[10:01] 我们就是爽爽去玩就好
[10:02] 不要
[10:02] 当旅游做家
[10:04] 还有当部落客
[10:05] 不是那么容易的
[10:06] 对 就没有人喜欢
[10:07] 一边在玩的时候工作
[10:09] 这倒是
[10:10] 但是工作的时候
[10:12] 趁机玩一下是OK的啦
[10:13] 对
[10:13] 对
[10:15] 然后因为Jesse其实
[10:17] 就是我们认识了以后
[10:19] 其实她跟我们
[10:21] 后面就是在
[10:22] 过去在雄市的同事们
[10:24] 也都很熟
[10:25] 因为我们后来就有邀请他们
[10:26] 就是持续的
[10:27] 就是参加我们的合作
[10:29] 然后去彩线这样
[10:30] 所以我们蛮多同事都跟Jesse很熟
[10:32] 太好玩了
[10:33] 对
[10:33] 那你们在合作当中
[10:34] 有没有遇到什么有趣的事情
[10:36] 合作的过程当中
[10:38] 我好像没有机会跟Jesse去彩线过
[10:41] 但是应该我的几个
[10:42] 部门的同事应该都有
[10:45] 对
[10:46] 然后我记得我以前彩线的时候
[10:48] 我那时候有在节目讲吗
[10:49] 有在节目讲过是说
[10:51] 因为你去到一个国家
[10:54] 一定会体验他当地的风俗啊
[10:57] 或是什么的这样子
[10:58] 然后像我们以前在古装剧里面
[11:02] 不是都看说有客栈
[11:03] 对
[11:04] 然后我就真的有一次
[11:06] 有去住到客栈
[11:08] 就是我们彩线确实都是高规
[11:11] 大家都招待很好
[11:12] 那个也是招待的
[11:14] 而且你就会想说
[11:15] 喔天哪一踏进去
[11:16] 你就觉得
[11:17] 跟那个电视剧里面
[11:19] 长得一模一样
[11:20] 然后但是呢
[11:21] 跟电视剧里面长得一模一样
[11:23] 但是你现在可是有拖着行李的人
[11:25] 所以你就是要走楼梯
[11:27] 进客栈的房间
[11:30] 大侠是不带行李的
[11:31] 是
[11:31] 但是因为呢
[11:33] 客栈就是客栈
[11:35] 那人家以前没有那么好的
[11:37] 就是未浴的设备
[11:38] 那他也只能在他现有的空间
[11:41] 跟管道去做这件事情
[11:43] 所以我们在洗澡的时候
[11:45] 就发现说
[11:45] 原来我们蹲马桶的地方
[11:48] 上面就是连碰头这样子
[11:49] 然后你就想说
[11:51] 边蹲边洗
[11:52] 真的
[11:55] 你就是想说
[11:56] 天啊
[11:58] 因为是来工作的
[11:59] 就无所谓了
[12:00] 但是真的觉得说
[12:01] 从来没有这个体验
[12:03] 从来没有
[12:03] 没有办法去理解说
[12:05] 为什么就是蹲着马桶的地方
[12:07] 然后上面会有脸蓬头
[12:09] 然后你要同时洗澡
[12:10] 然后你很怕你在
[12:12] 踩进去
[12:13] 总是要洗澡的时候
[12:14] 你很怕踩进去
[12:16] 对我马上坑好吗
[12:17] 你呢
[12:20] 就其实我也很常在中国
[12:22] 遇到那样子的厕所
[12:24] 他们就不知道为什么很喜欢把联系统放在那个上面超方便顺便冲马桶但真的你真的在洗澡的时候很怕不小心就会踏进去真的很害怕对那这时有什么特别的
[12:36] 就是印象很深刻的
[12:38] 一个踩点的过程
[12:40] 如果是跟
[12:42] 就是我可以分享两个
[12:44] 一个跟旅行社
[12:45] 一个是我自己出去的
[12:46] 对对对
[12:46] 那跟旅行社出去
[12:47] 我印象很深
[12:48] 那时候我们去内蒙古
[12:50] 就是跟熊师去内蒙古
[12:52] 对
[12:53] 然后当时就大家就想象
[12:54] 就是内蒙古就是很浪漫
[12:56] 很辽阔
[12:56] 然后就是我们整团的部落客
[12:59] 都带非常兴奋的心情去
[13:00] 然后就我去了第一天就发现
[13:02] 哇 内蒙古人超级热情
[13:05] 然后所以就是从早上开始
[13:08] 就是你到了每个地方
[13:09] 他们就会不断的敬你酒
