[00:00] 主持人：歡迎來到好聲音。
[00:06] 主持人：大家好，我是好學好哥，歡迎來到好聲音。今天呢邀請到也是我們這個好聲音，跟好聲音的這個經濟公司聖德好啊，我們這個辦公室最近非常棒的這個裝修的設計師Kiki來跟我們一起分享啊。好哥打算分享兩集，一集的話是聊聊Kiki這一路走來的設計生涯。那Kiki告訴我說她已經在設計公司待20年了，我下巴都快掉下來了，因為看起來就像大學生一樣，保養實在太好了。那第二集呢想聊聊另外一個非常Kiki在生命當中非常重要的一個主題叫走讀。
[00:40] 來賓：對。
[00:41] 主持人：對不對？好，所以我們這集先聊聊設計啊。Kiki你是怎麼樣的一個機緣啊，走到設計這個行業？你是��學生時代就開始喜歡嗎？還是有什麼樣的家學淵源跟大家聊一下？
[00:52] 來賓：欸，應該是那個時候我本來在當學生的時候就對設計有興趣。然後我以前走的是廣告設計。
[01:00] 主持人：廣告設計。
[01:01] 來賓：對，然後那個時候有做到櫥窗的設計。
[01:03] 主持人：呀。
[01:04] 來賓：所以其實有進入到空間的一個領域啦。那大學的時候我就選室內設計了。我就直接選室內設計一直一直不停的鑽研下去。
[01:15] 主持人：好哥再往多前面問一下，就是說很多人說對這個設計有興趣，在學生時代就設計。其實設計這兩個字其實情勢還蠻廣的，你說畫畫有分漫畫，這個西洋畫跟什麼。所以一般而言的話，就是對設計這兩個字，雖然大家很清楚但不見得真清楚。你那個時候在第一次開始接觸到設計是什麼時候開始接觸到的？
[01:36] 來賓：其實在國中的時候。
[01:40] 主持人：國中就接觸了。
[01:40] 來賓：嗯，國中我就開始學畫畫了。
[01:42] 主持人：學畫畫。
[01:43] 來賓：對，那學畫的部分是學比如說像是國畫或者是西洋畫，類似像這樣子。
[01:49] 主持人：是你自個學嗎？還是家人送你去這個學畫畫？
[01:52] 來賓：我自個學的。
[01:53] 主持���：你自己學啊，喜歡？
[01:55] 來賓：喜歡，喜歡。
[01:56] 主持人：是你自己要求的嗎？
[01:57] 來賓：自己要求，也算是自己要求，因為等於那個那個時候是美術老師培養我。
[02:04] 主持人：是國中的老師？
[02:05] 來賓：對，國中的老師。
[02:06] 主持人：然後就一般的美術課，然後再上課的時候這個教國畫，教西洋畫，你就喜歡了。
[02:11] 來賓：對對對對對。
[02:12] 主持人：還是有點天賦嘛，對不對？
[02:14] 來賓：對，嗯嗯嗯，對啦。
[02:15] 主持人：被誇獎的有點不好意思。
[02:18] 主持人：所以那個時候是喜歡畫畫，但還不是有設計的概念對不對？
[02:21] 來賓：那時候是喜歡畫畫，因為那時候國中其實其實現在國中大家也是一樣，接觸到的都是比較隨手可以使用的工具。所以還多半是以平面的設計為主。
[02:36] 主持人：那時候應該算畫畫。其實在其實對設計這件事情還不太一樣，尤其後面室內設計。所以那個時候你在腦袋裡面有想到說將來在整個再往上去升學的時候，或者是職場可能還稍的遙遠嘛。從國中到高中，高中還繼續畫畫嗎？
[02:54] 來賓：高中，有有有有。
[02:55] 主持人：也繼續畫畫。
[02:56] 來賓：也繼續大量的畫���，但是高中的畫畫開始其實是偏構圖跟設計了。所以就不太一樣。
[03:03] 主持人：怎麼會有這個機緣去構圖跟設計啊？是。
[03:06] 來賓：因為高。
[03:07] 主持人：課程上面，你是念高中還是念？
[03:08] 來賓：我是念高職。
[03:10] 主持人：高職啊。
[03:10] 來賓：對，那我我我高職我念松山廣設科嘛。
[03:14] 主持人：啊，所以就開始有專業這件事情了。
[03:16] 來賓：對對對，開始有專業這件事。
[03:19] 主持人：所以那個時候是你自己選的嗎？
[03:21] 來賓：是我自己選的。
[03:22] 主持人：所以你本來就從畫畫對這個設計的話，就一路這樣的一個喜好就往上走了。
[03:29] 來賓：對。
[03:30] 主持人：那個那個時候從畫畫，然後開始分支說我之後將來要做什麼職業的時候，其實那個時候內心有一個非常強烈的聲音就是我要往設計的方向走。
[03:42] 主持人：你這麼小就已經把這個聲音在腦袋裡面有出來了。
[03:46] 來賓：嗯，那時候就出來了。
[03:47] 主持人：好幸福喔。
[03:48] 來賓：就就算好像是運氣很好，就找到自己喜歡做的事情。
[03:53] 主持人：呀。
[03:53] 來賓：嗯。
[03:54] 主持人：所以後來包含從高職到大學的話就一路走來，就就就沒有變過。
[04:00] 來賓：沒有變過。
[04:01] 主持人：都沒有變過，都把設計當成是非常重要的一個主軸嘛，對不對？
[04:05] 來賓：對，但是我必須說那個高中的時候我是學的是廣告設計。那在大學的時候我就是學室內設計了。
[04:15] 主持人：能不能跟大家就稍微科普一下，就是廣告設計跟室內設計它主要的差別或主要的著重點在哪個地方好不好？
[04:23] 來賓：廣告設計我們那個年代啦，當然現在的廣告設計是更遠。
[04:27] 主持人：你再講是我們的年代我就不太能夠match到，因為你看起來是很小的一個小女孩一樣。你們的年代，講一下講一下。
[04:36] 來賓：我們那個年代其實就是報紙。
[04:38] 主持人：報紙。
[04:39] 來賓：雜誌，然後媒體，媒體之類的，這一類的稱之為廣告設計。
[04:47] 主持人：廣告設計。
[04:48] 來賓：對，那像空間設計的部分，當然就是你像看室內設計，然後或者是商商空設計，或者是劇場或者是商業舞台設計，這些都可以算為室內設計的範疇。
