[00:00] 旁白：全球算力需求正在快速攀升，你的運算基礎設施準備好了嗎？AMD Helios新世代機架級AI平台強勢登場，整合72顆AMD Instinct MI455X GPU、AMD EPYC Venice CPU，以及開放式網路架構，專為超大規模AI訓練設計。單一機櫃即可提供高達2.9 ExaFLOPS運算效能，與31TB HBM4記憶體，更支援超大型AI模型運行，實現更高密度的運算能力。透過開放標準與Ethernet架構，讓企業擺脫架構限制，打造更具彈性與成本效益的AI基礎建設。AMD Helios，世界級AI機櫃平台，重新定義高效AI基礎設施的新標準。更多資訊，請上網搜尋AMD官方網站。
[01:08] 主持人A：哈囉，歡迎收聽哇塞心理學，我是心理師Nana。
[01:11] 來賓B：我是博弈。
[01:13] 主持人A：久違��哇塞心理學呢，我們今天想要跟大家聊的是Netflix前陣子很有話題的日本影集叫做《地獄占星師》。那這部作品表面上是在講一個占星師的人生，可是如果你往下看，你就會發現其實它在談權力啊、慾望、創傷、命運，還有人在無能為力的時候，為什麼會想要相信某一些東西。
[01:34] 來賓B：乍看有點是在講一個有點偏詐騙怎麼成功的一部劇，可是或許我覺得它在講的更像是人為什麼希望能夠去掌控自己的命運，為什麼在不確定的年代，占卜這個東西就會越來越流行，還有當一個人開始相信他的命運的時候，他真正想要得到的到底是答案還是安慰。
[01:55] 主持人A：那我們就先請博弈幫我們介紹這部作品。
[01:58] 來賓B：好，這個《地獄占星師》是今年四月上檔的Netflix的原創日本影集。它應該是半虛構式的自傳，講的是那個二戰後的廢墟出生的這個細木數子。她其實是一個日本的真實人物，在2006年的時候過世。這部影集是在講她從17歲到66歲充滿爭議的人生的故事啊。那隨著熱播跟話題的延燒，大概播出之後在新加坡啊、香港、韓國、泰國、波蘭、羅馬尼亞，還有在台灣都有在那榜單的中的前十名這樣子。
[02:33] 主持人A：對，因為我覺得最近日劇相對要進前十比較沒有像以前那麼多了。
[02:38] 來賓B：好像都是以韓劇為主，還有台劇啦，如果是在台灣播出就是以台劇為主。
[02:44] 來賓B：然後它的故事是從，她從小是在平民窟長大，應該是說戰後廢墟，那時候東京到處都是平民窟。那是從酒店做到爵士餐廳，最後涉足占卜業啦，應該是在她已經年紀比較大的時候。她中間有經歷過一個失敗的短命的婚姻，還有被詐騙啊、被黑道控制，甚至她後來就反過來剝削當時的一個很出名的演歌明星啊，甚至還有利用占卜跟話術就是操弄跟剝削民眾，然後賺取大筆的財富。那這故事其實雙女主的設定，裡面還有另外一個女主角是一個作家，叫梅乃里，然後她剛離婚，單獨帶著女兒投靠自己原本的媽媽家在那邊生活。一樣經歷感情跟經濟上的打擊，所以她那時候毅然決然的接下這個替細木數子撰寫傳記的工作，然後就一步步的扒開她不為人知的過去。
[03:36] 主持人A：那我覺得這部劇一開始會獲得很大的討論度，還是因為女主角是戶田惠梨香。如果大家有印象的話，她就是《死亡筆記本》裡面可愛的彌海砂。
[03:47] 來賓B：她後來還有演一部詐欺遊戲。
[03:49] 來賓B：她裡面飾演跟這部是完全相反的角色啦，是很容易去相信別人的一個小職的角色。那跟這一部她會後來變成會去利用別人剝削別人算是性格是一個完全相反的一個設定。
