[00:00] 主持人：歡迎來到好聲音。
[00:06] 主持人：大家好，我是好學的好哥，歡迎來到好聲音。這一集呢，我們繼續來邀請蘇軒慧老師來跟我們分享她的新書《隱性內耗》。請老師跟大家打聲招呼。
[00:17] 來賓：Hello，好哥，還有各位聽眾大家好。
[00:20] 主持人：老師啊，我們上一集特別提到了，這個內耗，某種程度上面呢，它算是一種對我們需要去特別覺察的一種身體的這種狀況。能不能跟我們分享一下，因為畢竟在書裡面的第一章、第二章提到了「傷」這個字。因為很多的時候搞不好我們自己都不覺得是傷，尤其是小時候的傷。能不能跟大家聊一下，就是內耗的成因啊，搞不好是在很久遠以前，它會有哪些的情況，���慢慢塑造或者是形塑我們會常常把自我的要求啊，變成一種自我的耗損。
[00:59] 來賓：嗯，我之所以會提到傷，所謂的早年創傷或者童年的一些傷痛，是因為我們在幼年的時候啊，我們對這世界懵懂無知嘛，我們才剛開始認識我們的父母，我們所處的家庭，還有我們的社區跟社會。但是在那一個時候，雖然你懵懂無知啊，你已經透過你跟環境的人的一些互動方式跟一些生命經驗，其實你已經開始在形塑一種東西，那種東西叫做生存模式。
[01:27] 主持人：生存模式，呀。
[01:28] 來賓：嗯，那這種生存模式就真的很因人而異囉，因為你是長女還是你是長子，還是你是第二個老二，然後你是最小的小孩，其實你的排行也會影響你這個生存的模式跟策略。然後再來就是說，你家裡面有誰？就是說如果你是只有、只有單親，或者是你雖然爸爸媽媽都是在你身邊，可是他們可能對於你的高期待要求，或者是從小就想要把你培養成醫生，培養成教授，其實你的環境就已經開始讓你慢慢的在懵懂無知中，慢慢的形塑說我該如何活著，才是我世界要我做到的，才能夠符合別人的期待跟期望。
[02:11] 來賓：那雖然你什麼都還沒搞清楚，可是你已經開始在���個運作當中。
[02:15] 主持人：就感知了，對不對？
[02:16] 來賓：對，那是一種感知。所以有些人他就可能是很小的時候，他在的環境比較是充滿了指責性，或者是比較是質疑跟批判。那他就會在一種沒有那麼安全的情況之下，常常也會感覺到說，當別人還沒質疑他之前，他可能就會先學到要質疑自己。然後他沒有經驗到什麼是被肯定，然後什麼是被、被允許或被成全。所以對他來說，要能夠好好的確認他自己的選擇跟他自己的想法，這件事情就夠困難了。
[02:47] 主持人：沒錯。
[02:47] 來賓：他就會常常翻來覆去，他會很擔心說，只要他告訴了別人他的選擇，可能別人就有很多問題，會讓他啞口無言。所以他必須腦袋一直轉、一直轉，一直想各種可能性。
[03:01] 主持人：揣測。
[03:01] 來賓：揣測、猜測，然後人家說了什麼，我應該回他什麼。但是真的事到臨頭的時候，人家真的問他，他還真的答不出來，因為他腦袋會很亂。這是一種就是說我們的童年的某一種生存環境，讓我們沒有辦法有安全感，還有自信心。然後再來就是說，有些人就是他可能是從小被忽略的、忽視的。像有一些長女或者是有些女性，他們因為在早年的環境，可��比較是不被那麼重視她的性別，然後又容易把它賦予一種就是說，因為你在家裡沒有價值不重要，所以你要很會做事。因為你在家這個家的一個價值就是我們交代的事情你會做到，像長女。那所以這個時候他可能就會覺得，我是一個沒有價值的人，我在這個家好像是一個多餘的。那我要證明我在這個家有用，那就是我要不斷的做。然後我可能要把別人的問題都當作自己的問題，我可能要把媽媽的情緒當作我要負責任的。那所以在這種情況下，他也從小就沒有自己嘛。因為他不被允許。那就算他有種委屈感，他可能也在環境中的反應跟對待說，你這樣子很自私，這樣不應該，然後你要為這個家庭、家族著想。所以慢慢的，像這一類人，他們都沒有辦法，因為他的生存策略跟模式就是你不要關心到你自己，你必須去注意到你這個環境中的不安全，或者是你要關心到環境中其他人的臉色，甚至他們的情緒的展現。所以有些人單單只是看別人的表情變化，他就夠累了。
[04:32] 主持人：對。
[04:33] 來賓：他就累壞了。然後再來就是說，如果他甚至感覺到就是說，別人是不是在生氣他，或者是別人是不是對他不滿意，他可能就開始內疚，然後自己���自己問題。所以回家之後，雖然美其名啊，因為我聽過很多人說，他們也從很多心理的書籍學到要對話嘛，然後要自我冥想嘛。
[04:54] 主持人：對。
[04:55] 來賓：結果他們一對話一冥想都還是在罵自己啊。
[04:57] 主持人：對。
[04:58] 來賓：所以這個。
[04:58] 主持人：因為習慣罵自己了。
[04:59] 來賓：習慣罵自己。
[05:00] 主持人：不太習慣鼓勵自己了。
[05:01] 來賓：不太習慣。然後他們都認為說，責備自己、罵自己才是真的。
[05:06] 來賓：有些人深信這樣。
[05:07] 主持人：我自責才會成功，我自責才會進步。
[05:09] 來賓：對，才會進步。對，所以如果我說我自己好話，然後甚至很同理、很支持自己，我可能會變得很爛的人。
[05:15] 主持人：呀。
[05:15] 來賓：有些人的這個邏輯是這樣推的喔。那所以你就會發現說，我們的社會怎麼了？為什麼會把大家都變得對自己這麼充滿了攻擊跟這麼的否定，還有就是具有敵意的現象，這是我覺得非常好奇的事情。
[05:31] 主持人：對啊，真的是蠻奇怪的。而且我剛剛聽你在說的過程當中，某種程度上面，也跟我們的教育體制跟公司的制度會有連結。我就曾經聽到一個老師，他說其實我們在教育體制當中是不太鼓勵團隊合作的。為什麼？我說老師為什麼？他說其實公司也是一樣。他說你想像看，如果真正在學校裡面，我們常常在排名這件事情上面，第一名幾個？我說一個啊。第二名幾個？一個啊。那第一名只有一個，第二名只有一個，那學生之間怎麼會互相合作呢？有道理啊，對不對？某種程度上我幫你的話，我可能就下去了。
[06:12] 來賓：我就下去了。
[06:13] 主持人：所以有一次我看待就是我那時候女兒剛在美國學校嘛，我沒有說他們教育制度一定很好，但是很令我訝異。因為那時候他們在考試的時候，我說你們成績單能不能給我看一下。他說成績單喔，我只知道我這科分數而已，我只知道我自己這科分數。我說其他人呢？他說其他人我不知道啊。我說你不知道其他同學？對啊，老師都沒有告訴我們其他同學啊。後來到學期末的時候，我就去他們都我們以前是家庭訪問嘛，然後他們是我們到學校去跟每一個老師面談。我說老師，怎麼需要、怎麼都沒有全班集合的成績，因為我們以前是這樣排名下來，嚇死人你知道嗎？對不對？排第20名、30名，全部爸爸媽媽看到成績單就知道你到底得幾分你知道。後來老師跟我說了一句話���好令我深思。他說成績不是自己的事嗎？
[07:03] 來賓：是。哇。
[07:05] 主持人：他說如果你的小孩，他如果覺得不好的話，他就把自己顧好就好了。
[07:12] 來賓：是。
[07:12] 主持人：而且每一個人都有他擅長的一面啊。你跟別人比較，別人的好關你什麼事？哇，你知道那一次是我最訝異，因為可是這個根深蒂固在我腦袋裡面的比較這件事情啊。
[07:25] 來賓：是，是比較。
[07:26] 主持人：就是把別人的好當成是自己的失啊。
[07:29] 來賓：是。
[07:30] 主持人：已經是一種慣性了。
[07:31] 來賓：慣性，對，我們社會的慣性。好像當別人真的這一科或者這一個項目非常的厲害，就好像是我很不行，我、我非常沒有價值。
