[00:00] 主持人：
[00:07] 歡迎收聽五級郎該修欸摩嘎，我是節目主持人Andy。這是一個自我成長、人生經驗對談和內化學習輸出的節目，期待我們一起成為生命中輕易豐盛、富而喜悅的五級郎。
[00:22] 歡迎回到五級郎，我是Andy。
[00:25] 在今天節目一開始啊，我想請大家想像一個畫面，你今天下班回到家，推開門，發現啊，孩子把玩具撒的滿地都是。在那個瞬間，你的血壓是不是瞬間飆高？嘴巴已經準備好要大吼：「我講過幾次了！為什麼都不收玩具？」又或者啊，你接到一通說你家人出車禍，急需匯款的電話，你是不是會立刻陷入恐慌，腦袋一片空白呢？
[00:53] 在這些日常的突發狀況當中，我們往往是被情緒牽著鼻子走的。
[00:59] 但今天，我們要透過《回應的力量》這本書，來幫大家找回情緒的遙控器。
[01:05] 今天我們要探討的部分叫做分辨回應和反應。
[01:10] 那書中引用了美籍武術家Bode Sanders的一句名言：「當你做出反應時，你把掌控權交給別人；當你回應時，由你掌控全局。」這兩者到底有什麼差別呢？為什麼搞懂它們就能大幅提升我們的人際關係和生活品質啊？
[01:30] 準備好了嗎？我們一起進入今天的主題囉！
[01:33] 為什麼我們總是容易失控、容易後悔？
[01:36] 這小節內容啊，透過非常精準的定義，給了我們三個極具啟發性的觀念轉換。
[01:42] 重點一：反應來自過去，回應來自當下。
[01:48] 作者在書中提到啊，他曾讀到奧修的一句話，讓他突然明白，自己多年來對外界刺激的大多是反應，而不是回應。這句話是：
[02:00] 反應來自過去，回應則是活在當下。
[02:05] 什麼是反應？反應是直接的、不設防的、容易被煽動情緒的、缺乏思考的。比如說，接到詐騙集團的電話，對方語氣急迫的說：「你家人出車禍急需十萬。」你心裡升起的第一個情緒多半是焦慮恐慌。這些負面情緒會讓人內耗、大腦當機，甚至啊，不會想到要先求證，只能乖乖一步一步的走進對方設計好的劇本當中，乖乖被對方所控制。
[02:36] 重點二：回應是清醒的選擇，能設立界線。
[02:41] 相對的，回應則是剛好相反。回應是清醒的，是一種覺察之後對自己情緒有所理解而做出的選擇。
[02:51] 書中啊，舉了天后王菲的經典案例。20世紀末，記者在公開場合問王菲：「你離婚的手續是不是已經完全辦妥了？」王菲反問啊：「跟你有些什麼關係啊？」記者用八卦的口吻回答：「我們讀者想要知道囉！」那接著王菲以穩定的內在狀態、清晰的思路，不被過去的情緒或傷痕所干擾，打破對方既有的預期，顛覆了記者的問話。這就是一種極度清醒，且保有掌控權的回應。
[03:25] 重點三：連沉默也是一種強大的回應。
[03:30] 回到我們開頭說的，小孩亂丟玩具的例子。
[03:34] 書中分享了一位學員的經驗，他說以前看到小孩不收玩具，一定先去大罵一頓。但後來，當他看到家裡被弄亂，他怕自己失控，於是選擇轉身離開，深呼吸。
[03:51] 這位學員體悟到：「我的沉默是回應，不是反應。」作者指出啊，那些暴怒的反應，往往源自於心中的恐懼。恐懼被批評不會教小孩。
[04:05] 長久以來啊，活在恐懼中，如果能緩一下，在第一秒鐘先問自己：「我現在要選擇恐懼，還是選擇愛？」只要你想通了，你就可以開始練習，帶著愛的回應，取代以往粗糙的反應。
[04:22] 那聽完這三個重點啊，你是不是也想把生活當中的反應升級成回應了呢？書中提供了一個非常棒的回應練習，我強烈建議大家，本週把這四個問題
[04:35] 截圖或抄寫在手機裡。當你留意到自己有負面情緒的時刻，例如生氣啊、緊張、失望的時候，請拿出來回答這四個問題。
[04:46] 第一步：發生了什麼事？客觀的陳述事件，不要加形容詞。例如啊，伴侶忘記買我交代要買的晚餐，就這樣子，沒有任何情緒。
[04:58] 第二步：我的第一個反應是什麼？直接寫下來，誠實面對自己的本能。例如，我覺得他根本不在乎我，我很生氣，想要立刻打電話罵他一頓。
[05:12] 第三步：我有沒有停下來想？如果有，我是怎麼回應的？
[05:18] 回顧一下自己有沒有創造那個緩衝的空間。例如，我深呼吸了五次，然後傳訊息跟他說：「你沒買晚餐我很失落，請你回家前去超商幫我買點東西。」
[05:31] 第四步：如果再來一次，更好的回應方式是？這是幫助大腦建立新神經迴路的關鍵步驟喔！去思考下次怎麼做會更趨近於愛，而不是恐懼。
[05:46] 那你準備好了嗎？
[05:47] 今天的行動挑戰呢，就是為你的情緒煞車系統進行升級。今天，只要你遇到任何一件讓你眉頭一皺、心跳加速的事情啊，可能是同事說錯話，或是路上車子突然按你喇叭。在你開口抱怨或發脾氣之前啊，請在你心裡默數：
[06:06] 一、二、三。
[06:09] 告訴自己：「我現在要給出的是回應，我不把情緒的遙控器交給別人。」你會發現，光是停頓這三秒鐘，你的人生劇本就會完全改寫喔！
[06:21] 最後啊，人生中充滿了各種突如其來的球。就像作者說的，我們可以在每次的選擇當中，更靠近那份不急不躁、清晰、堅定的自己。
[06:33] 面對隱藏的惡意或突發狀況，不要再用慣性去反應了。
[06:39] 把掌控權拿回自己手裡，用清醒的回應去化解生活中的暴風雨。
[06:45] 以上是今天節目，記得跟著每天的行動挑戰，一天一點點讓改變看得見。也歡迎加入聽眾專屬的社群五級郎底家，相關連結也會把它放在節目資訊欄位。我是Andy，我們下集節目見囉，掰掰。
[06:58] 喜歡今天的節目嗎？歡迎在Apple Podcast上留下五星好評，給予我們支持和回應。Android系統的朋友可以在Spotify上直接留言。你的回應就是我們做節目最大的動力，我們下集節目見，掰掰。
